Obs,Q1,Q2,Q3,FX1,FX2,V1
1,28232,25081,4069.7,235,42,23.58
2,281.28,3061,27110.15,318,45,11.644
3,2126,3274,1124,385,44.11,5.021
4,19537,21287,10492.01,210,36,13.228
5,13575.17,27672,3440.32,300,42,16.473
6,32049.28,21096,7575.02,230,42,22.808
7,4549.28,6373,2352,365,44.11,2.726
8,612,22475,368047.01,400,46,24.815
9,0,1780,9685,390,46,2.708
10,703.22,2286,2080,350,40.2,3.451
11,11243,20261,18705.55,288,55,9.024
12,2471.53,3814,595,336,43,6.208
13,263,2970,4654,394,44.9,2.222
14,43,14477,424354.86,350,55,56.436
15,3097,27701,92714,450,55,37.751
16,506.68,11783,12970.59,315,44.11,12.229
17,5887.89,43400,47961.23,425,45,36.179
18,6655.1,32493,10910.68,240,44.9,17.835
19,334.73,47233,52584.5,479,50,28.272
20,2093,8081,3274,390,50.9,8.399
21,0,9102,10185.2,350,42,4.419
22,10512,14643,1322,215,39.3,6.91
23,921,16885,3484.08,185,35.8,16.11
24,4045.09,20139,4458,300,42,11.765
25,15276.27,14613,1022,350,38.1,15.667
26,1096.97,3934,2068.32,290,35.8,7.958
27,7368.62,45774,37419.62,360,49,28.469
28,6863.47,31251,2208.01,318,40.1,17.772
29,5745,12950,2270.96,180,37.6,7.219
30,0,2810,78091.69,210,43.4,19.427
31,1766.39,8610,3828.04,275,43.9,10.486
32,2913,15821,1184.4,290,42,9.135
33,8219.7,24188,2035,265,44.8,13.792
34,144,9627,2099,320,40,4.667
35,12380.67,34188,68345.14,270,44.5,31.986
36,78583.39,37424,11958.97,350,50,45.917
37,13103.4,6741,2502.6,250,39.3,5.524
38,1747,15591,3042,600,44.9,6.163
39,2083,27596,996006,437,56.9,35.705
40,9258.1,26201,2971,260,49.1,15.906
41,5548,18379,2527,300,51,9.493
42,492,24423,19617.08,365,56.5,13.559
43,4728.56,59878,19994.76,250,45,30.08
44,32036.08,222745,113873.27,365,46.5,60.544
45,15208.68,54332,5814.44,410,46.9,37.583
46,11269.36,39900,21381,365,50.9,24.392
47,174,47546,25635,365,55.6,25.274
48,488.36,28419,22186.4,440,45.7,8.605
49,8441,11575,16457.8,364,54,15.929
50,603,8905,13757.85,280,43.9,5.826
51,3990.7,19292,21072,365,43.9,30.399
52,5261.7,26212,1961,290,44.6,10.479
53,8734,30329,20311,365,44,22.176
54,24,5294,36025,400,52.6,8.149
55,5751.93,28489,1560,350,56,13.24
56,114033.87,25086,132193.83,350,51.4,103.386
57,21654,5931,2145,440,62.5,14.653
58,93,17624,21236,365,55,13.059
59,6499,85,32420,375,49,9.042
60,37579,28012,78563,365,62.4,50.653
61,695.8,10483,57368,365,61.9,11.911
62,571.85,11032,77713.12,365,55.9,9.448
63,841,26583,29591.5,365,53.4,18.983
64,79088.33,52028,82693,320,60,95.986
65,42973.04,89335,42042.21,400,60.8,47.076
66,18305.28,44253,164237.9,365,61.5,34.375
67,579.66,31434,49096.46,350,58.7,36.795
68,37,9228,15995,400,50,8.417
69,61044,102053,96058,280,50,116.966
70,135.01,10334,17260.79,330,50,20.08
71,97.13,6621.67,132403.28,440,45,24.006
72,0,3976,14318.35,503,71.4,5.083
73,35,49796,22370,470,64.9,15.101
74,891,33305,671072,360,62.7,41.874
75,115563.53,27510,271281.36,503,79.2,59.978
76,6113.69,51414,75020.8,460,73.9,52.753
77,425,14887,42803,360,65.2,14.749
78,2516.38,33743,1454682.34,625,72,43.638
79,257,41126,27984.95,500,63,32.354
80,8489,31740,4147.32,440,74.2,14.619
81,13344.64,21905.08,299,705,74.1,15.656
82,82647.91,94979.18,146812.87,503,74.6,155.146
83,167911.37,80371,323161.31,365,62.1,170.419
84,3,561,20075,365,67,3.236
85,160017,18256,86298.65,435,62.1,71.177
86,662839.67,101547,462531.94,700,71.5,211.447
87,1826.2,11910,66878.04,425,62.7,24.441
88,30,34638,80031.04,410,67.1,20.951
89,326,7198,67879.98,360,67.1,17.096
90,182,3493,76447.04,350,67,25.906
91,783.89,25992,33460.5,360,59.2,9.983
92,0,9,11228,675,77,5.673
93,589,163296,404807.56,400,67,90.006
94,2662.92,6866.18,1136,330,71.3,8.958
95,151404.7,121605,191830,500,73.1,156.858
96,122260.7,108368,172442,402,62.5,175.303
97,60954.4,131838,79923,365,49,118.641
98,341126.24,63743.54,238651.52,520,75.7,184.154
99,237414,59219,221647,402,65,120.469
100,247310,76000,298756,443,70.7,146.857
101,22080.78,38944,21493.55,320,53.5,41.594
102,2990.34,96648,27263.8,402,54.8,35.376
103,35057,89227,178724,565,75.3,92.09
104,288121.39,171282.19,159560.54,700,72.1,167.028
105,355588.14,19670,583589.87,565,75.3,171.772
106,2313,50746,50183.31,520,71.2,41.923
107,271457.87,23108.31,875549.69,565,65.3,147.125
108,122439.67,147770,152768.28,625,68.4,138.913
109,27734.58,29642.04,8223.96,520,70.3,19.288
110,316,47895,166204.2,520,64.8,42.566
111,158,11545,98502,675,72.7,21.407
112,6842.72,4770,29789.4,770,71.1,36.574
