0bs,FX1,FX2,VX1,VX2,Y1
1,97,859,8,9,18180
2,70,369,7,16,17675
3,64,505,7,22,14595
4,93,756,7,10,18180
5,71,303,6,9,18180
6,85,1182,8,9,18167
7,70,606,8,23,30906
8,64,359,7,12,17850
9,95,516,8,15,17170
10,76,687,8,9,17776
11,91,859,9,11,18875
12,80,864,8,9,18039
13,78,556,8,9,18131
14,83,773,9,17,18130
15,80,728,8,7,14750
16,63,526,8,11,18018
17,73,606,7,13,18151
18,83,758,8,9,18180
19,81,536,8,22,35229
20,85,859,8,10,18128
21,71,430,7,10,17790
22,86,667,8,9,17976
23,95,1515,8,10,18171
24,76,531,8,11,19447
25,50,354,8,11,18168
26,74,420,6,14,18156
27,78,808,8,6,8484
28,94,960,8,12,17877
29,86,859,8,14,24038
30,109,1313,9,9,18029
31,76,546,8,21,37421
32,85,1066,7,26,38279
33,89,859,6,12,17198
34,80,859,8,11,18079
35,84,606,6,15,18079
36,67,505,8,14,17330
37,79,526,8,8,17445
38,77,909,8,10,17978
39,98,1566,9,10,10100
40,82,566,8,6,13486
41,89,632,7,18,24887
42,85,980,9,11,17978
43,86,864,8,11,18079
44,80,606,9,8,9453
45,83,859,8,47,73763
46,75,404,7,14,18382
47,77,667,8,8,18130
48,83,970,7,12,17978
49,77,657,5,12,18110
50,81,1212,8,11,18180
51,55,303,6,13,4697
52,83,682,7,16,17877
53,79,344,5,18,19140
54,87,2525,6,21,11312
55,95,1566,8,9,19190
56,84,538,7,13,17880
57,100,1667,8,10,18180
58,82,707,8,23,35956
59,74,606,8,22,37365
60,53,295,6,23,13837
61,74,531,9,7,18023
62,75,758,8,11,18180
63,83,425,8,10,17978
64,77,455,8,12,17877
65,94,859,8,11,17978
66,87,1091,8,12,17978
67,66,404,7,13,20208
68,74,728,8,10,2163
69,83,859,8,13,20200
70,82,909,8,9,18079
71,75,526,8,16,18079
72,95,1465,8,8,17705
73,80,970,9,11,18176
74,75,808,6,12,18180
75,69,407,7,22,27351
76,111,1515,8,11,17671
77,86,435,6,18,14443
78,69,407,6,16,19241
79,91,1111,9,10,18180
80,83,753,8,21,35813
81,66,733,8,9,17675
82,93,1273,8,10,17889
83,81,430,8,12,18130
84,85,859,8,11,17810
85,84,627,8,20,23695
86,54,329,8,11,17997
87,93,1031,8,10,17877
88,84,859,7,12,18281
89,77,632,8,6,6666
90,73,632,8,13,17643
91,83,859,8,12,18483
92,59,354,7,21,14393
93,61,642,8,5,6303
94,82,728,8,8,18180
95,98,1238,8,9,18069
96,71,407,6,13,17675
97,82,430,8,20,18609
98,65,733,8,11,18180
99,80,430,7,17,16312
100,106,1566,8,9,18180
101,83,909,8,9,18180
102,80,909,8,12,18180
103,78,516,6,16,13096
104,82,546,7,18,17825
105,106,1212,8,10,17877
106,83,435,8,9,18025
107,77,736,8,14,18180
108,77,407,6,39,35935
109,89,1137,8,10,18029
110,84,753,8,12,18180
111,77,682,8,10,18047
112,80,707,8,12,18079
113,80,678,8,11,18168
114,81,430,8,9,17819
115,72,859,7,11,18130
116,94,1566,8,9,17978
117,95,1091,8,9,17666
118,92,1212,8,13,18100
119,79,430,7,13,20362
120,82,859,7,10,17637
121,64,480,8,11,17473
122,76,455,8,13,18101
123,76,546,9,10,17992
124,83,859,8,10,18130
125,78,455,8,10,18084
126,74,369,8,15,9494
127,80,546,8,12,18180
128,93,952,9,14,18162
129,71,556,8,15,18180
130,73,425,7,11,18129
131,79,758,8,8,2879
132,82,678,7,25,26930
133,65,960,8,10,18180
134,91,859,8,20,17574
135,73,430,7,12,14465
136,83,859,9,11,17675
137,97,950,8,10,18180
138,80,1031,7,10,17978
139,86,859,8,10,17726
140,85,859,8,11,19802
141,85,1031,8,10,17776
142,76,783,6,12,17776
143,66,642,8,10,18180
144,95,859,8,11,2183
145,68,531,8,32,33894
146,73,682,6,24,18089
147,75,515,7,12,18133
148,86,1071,8,12,17877
149,79,433,6,15,11464
150,73,531,8,8,18170
151,87,1293,7,12,18095
152,89,869,8,11,19904
153,76,435,7,13,19291
154,86,874,9,11,17675
155,83,508,6,17,17978
156,65,859,8,9,18033
157,72,622,6,29,32320
158,76,443,6,14,9434
159,79,425,6,29,31209
160,82,808,8,10,19346
161,62,430,8,14,17883
162,86,1010,9,18,26226
163,86,1515,8,11,17978
164,76,548,9,13,23048
165,69,407,6,6,5912
166,84,1031,8,12,18079
167,83,627,7,11,18142
168,79,546,8,8,18044
169,106,1137,9,10,18015
170,75,369,6,10,18150
171,89,657,8,26,36310
172,81,808,9,12,18180
173,78,546,6,19,17329
174,83,864,7,11,18149
175,75,516,6,16,14540
176,79,783,8,11,18079
177,82,631,8,8,17864
178,76,632,7,12,18122
179,83,682,8,9,17744
180,85,1066,8,11,18032
181,97,859,8,10,18180
182,92,859,6,13,17978
183,82,637,8,9,17776
184,75,404,8,11,17877
185,84,859,9,7,17928
186,91,667,8,10,18180
187,66,369,7,17,15376
188,86,1061,8,9,17675
189,66,657,7,14,17675
190,90,1137,8,10,17625
191,79,430,7,12,17877
192,76,632,8,14,17635
193,93,1137,8,9,17978
194,84,1031,9,9,19433
195,64,384,8,9,18029
196,80,546,6,18,14140
197,76,627,8,9,17933
198,86,909,8,10,17572
199,79,526,9,11,17776
200,83,728,8,12,20139
201,83,606,7,13,18071
202,64,384,8,9,19246
203,77,859,6,11,17944
204,84,627,8,20,38360
205,75,864,7,13,19695
206,92,909,9,10,18058
207,89,859,8,13,18156
208,81,808,7,12,18180
209,79,738,5,17,8888
210,85,1010,9,9,17894
211,89,606,8,12,18180
212,86,1010,8,9,18180
213,86,859,9,12,18029
214,89,1111,9,8,18130
215,79,631,8,10,5904
216,84,1137,8,9,18079
217,73,606,7,13,17675
218,69,606,6,16,13938
219,86,1010,9,9,17926
220,83,631,8,8,17396
221,84,429,5,5,932
222,84,1010,8,9,18029
223,89,808,7,12,17663
224,84,1212,8,9,18130
225,76,407,7,11,18079
226,85,909,9,9,17626
227,88,1111,8,15,10302
228,85,859,8,9,18180
229,84,970,8,12,18140
230,86,1263,7,12,18180
231,85,682,8,8,17650
232,86,1111,8,9,17271
233,107,1111,8,10,17978
234,91,429,6,17,17928
235,100,1515,8,10,18180
236,83,379,8,11,17743
237,76,728,8,10,18180
238,74,758,8,11,18115
239,85,1010,8,10,17776
240,89,1137,8,10,17986
241,81,1061,8,11,18786
242,80,515,6,17,14039
243,56,430,8,16,18157
244,72,631,8,15,24430
245,73,526,6,21,17978
246,94,657,8,11,4731
247,78,733,9,10,18147
248,87,859,8,10,17928
249,85,859,9,22,19572
250,89,1031,8,12,17550
251,85,1111,8,10,17776
252,85,814,8,10,18180
253,78,728,7,25,14590
254,78,783,7,12,17423
255,86,859,8,12,17836
256,63,460,7,12,14342
257,91,1010,7,11,17978
258,85,606,8,10,18180
259,86,1293,8,18,17944
260,86,808,8,10,17978
261,108,1010,10,9,17926
262,92,1394,9,9,18180
263,83,859,8,10,6101
264,111,1667,8,9,18180
265,82,526,6,18,14140
266,78,864,6,10,14140
267,97,1515,8,12,17877
268,77,859,8,17,18205
269,93,1273,8,9,17978
270,82,1187,8,9,18180
271,93,1091,8,12,18029
272,84,859,9,12,18093
273,95,1137,8,9,18150
274,78,526,6,12,13181
275,85,859,8,13,17856
276,89,1162,7,19,7575
277,85,859,7,14,7768
278,78,516,6,5,4938
279,83,753,7,26,12565
280,77,407,7,8,1010
281,62,430,6,21,4179
282,82,859,7,26,13278
283,81,536,6,26,13635
284,82,1031,6,27,18216
285,86,859,6,36,17827
286,71,407,6,5,455
287,83,864,6,26,14910
288,87,859,6,18,9898
289,85,859,5,22,12908
290,90,1137,8,10,9454
291,83,685,5,11,4111
292,76,546,7,5,1252
293,75,864,8,14,6262
294,83,859,8,6,758
295,93,756,7,4,672
296,79,758,7,16,7853
297,77,657,6,4,425
298,75,743,8,3,1515
299,82,546,6,4,960
300,84,627,6,52,30098
301,98,1137,7,17,7384
302,82,678,7,7,3213
303,87,1293,7,22,9843
304,82,909,7,14,9999
305,76,548,8,10,4597
306,80,1031,7,5,2164
307,85,1066,6,48,45955
308,72,859,7,8,3384
309,56,430,9,7,5646
310,85,859,6,33,21710
311,84,970,7,20,8164
312,69,407,6,13,1869
313,77,859,6,10,17684
314,81,859,7,14,6565
315,76,455,7,25,13769
316,89,632,7,37,22657
317,84,1031,7,16,7171
318,86,1010,8,20,13381
319,65,733,7,13,8282
320,83,627,7,28,18438
321,82,707,6,12,5858
322,83,909,8,27,17372
323,85,606,8,20,12625
324,86,859,7,17,8973
325,94,859,6,11,5151
326,91,667,6,22,9927
327,80,859,6,30,21793
328,91,859,6,17,11615
329,83,631,6,31,18512
330,79,430,7,9,2020
331,93,1137,7,14,9090
332,86,1061,7,29,15421
333,106,1566,7,37,24290
334,95,1465,6,16,7777
335,65,859,6,12,5757
336,85,909,8,11,5959
337,89,1137,8,12,4998
338,83,425,7,31,13888
339,85,1010,6,23,13062
340,76,531,8,6,1407
341,84,753,6,21,14443
342,64,400,7,25,13647
343,95,1515,8,18,10765
344,83,682,7,7,4536
345,84,627,6,25,11858
346,81,430,8,10,25889
347,89,1031,7,43,23741
348,103,859,7,34,19514
349,103,859,7,36,28714
350,91,606,6,6,1394
351,79,631,7,11,5252
352,84,1031,9,5,1465
353,74,728,7,14,10382
354,59,430,7,18,27836
355,86,435,6,12,14241
356,84,970,8,7,16524
357,85,859,8,7,18079
358,50,354,7,15,15545
359,84,538,7,16,19606
360,64,480,8,21,62216
361,89,1101,8,17,39390
362,86,859,9,10,18362
363,77,632,8,22,52874
364,84,859,7,16,36259
365,83,508,7,10,18180
366,80,546,8,7,18167
367,64,536,8,9,18104
368,77,526,7,10,13989
369,78,733,9,15,36158
370,78,546,6,8,18030
371,82,678,8,9,18154
372,55,303,6,20,54338
373,61,642,8,10,18726
374,83,631,8,8,18170
375,85,1066,8,8,18175
376,89,1137,8,5,3333
377,83,859,8,20,37875
378,53,295,6,12,16564
379,86,808,8,7,17978
380,97,1515,8,7,19190
381,63,460,6,8,14140
382,106,1212,8,8,19089
383,86,859,8,9,18165
384,66,369,7,9,14443
385,79,631,9,9,19190
386,107,1111,8,11,14847
387,75,515,7,9,18079
388,79,430,8,9,18129
389,77,682,8,4,3838
390,86,864,8,8,18083
391,79,738,6,12,18180
392,85,1066,8,15,36007
393,89,808,8,10,19490
394,63,546,8,8,17882
395,81,430,8,8,17823
396,94,1566,9,8,17978
397,69,407,8,11,13373
398,111,1515,8,8,17856
399,86,1010,10,8,19357
400,79,344,7,9,18132
401,62,430,8,11,17960
402,71,407,7,19,35350
403,64,505,7,20,36057
404,93,952,8,8,17978
405,84,627,9,8,18166
406,74,369,6,16,13938
