Obs,sp1_lbs,sp1_val,sp2_lbs,sp2_val,sp3_lbs,sp3_val,sp4_lbs,sp4_val,tda,costda,kpcnt,LEN,VHP,kpcnt2
15,8555,37117,860,538,0,0,27424,2284,19.08333333,754.2,0.385463696,42.1,237,0.5
34,15452,56422,2766,955,291,869,33935,6619,23.59652778,779,0.847391859,46.5,227,1
72,41763,111445,7082,6850,737,2070,3938,3567,40.47569444,959.6,0.890498943,46.3,302,1
89,83337,166694,23297,15075,2575,7431,279019,24919,50.83333333,1158.2,0.621218024,57.9,439,0.75
36,23167,55470,40500,15124,4719,10029,39330,32611,23.88125,1173.8,0.278591359,57.5,367,0.5
33,17400,49651,54822,50383,3046,9499,19905,17855,23.35972222,1178.5,0.334963173,48.3,378,0.5
92,57962,206847,38389,36023,3963,12615,35011,43308,56.02569444,1182.7,0.761432978,46.7,442,1
82,52626,121115,3888,3808,2537,5276,10776,10578,45.57361111,1365.4,0.577518647,62.7,427,0.75
62,29781,88216,69003,58807,1852,5836,15807,15896,33.01597222,1174,0.605654156,56,342,0.75
43,32204,133560,6338,4998,469,1509,212887,27750,26.0375,1066.4,0.536278447,59.4,277,0.75
67,16303,64972,1070,441,168,544,40374,7646,37.48611111,993.3,0.71281272,52.6,337,0.75
1,16472,33467,9561,11032,492,1450,2842,2308,11.16805556,1287.2,0.131917041,62.9,367,0.25
103,51634,172401,563879,445321,10966,39128,60407,71434,70.11041667,1353.7,0.510141941,56.9,367,0.75
124,254375,739103,147558,105002,44110,124275,196155,95458,131.6541667,1200.6,0.810544637,54.4,367,1
87,67435,201915,123056,108225,4649,14357,16552,27349,48.55416667,1456,0.447004759,69.5,452,0.5
79,81434,236867,6024,4682,972,2850,5583,8328,44.33194444,1317.5,0.719999077,61,422,0.75
108,141126,360466,121102,58661,10031,21557,19813,20111,75.375,1417.5,0.517099031,61.8,427,0.75
58,25131,62467,115235,84265,3347,10968,72626,63016,31.72916667,1182.7,0.459143969,62.5,367,0.5
66,27817,68858,43660,23943,3777,13898,41274,34331,36.87638889,1123,0.414735963,59.7,352,0.5
48,33157,91821,21092,17257,6274,19379,23203,24948,27.68055556,1320.6,0.355523476,46,442,0.5
