0bs,X1,X2,X3,X4,Y1
1,77,407,7,8,1010
2,64,384,8,4,1212
3,76,546,7,5,1252
4,91,606,6,6,1394
5,76,531,8,6,1407
6,84,1031,9,5,1465
7,75,743,8,3,1515
8,86,1010,9,3,1778
9,91,1010,8,8,1788
10,76,546,9,10,1817
11,69,407,6,13,1869
12,79,430,7,9,2020
13,86,1061,8,4,2020
14,74,728,8,10,2163
15,80,1031,7,5,2164
16,95,859,8,11,2183
17,73,404,6,6,2525
18,79,758,8,8,2879
19,84,628,8,4,3030
20,79,430,7,10,3030
21,82,678,7,7,3213
22,89,1137,8,5,3333
23,72,859,7,8,3384
24,85,1066,8,11,3636
25,84,859,7,7,3766
26,77,682,8,4,3838
27,78,455,8,10,4035
28,97,859,8,8,4040
29,83,685,5,11,4111
30,62,430,6,21,4179
31,77,407,6,5,4206
32,83,682,7,7,4536
33,94,859,8,5,4545
34,76,548,8,10,4597
35,55,303,6,13,4697
36,94,657,8,11,4731
37,78,516,6,5,4938
38,91,859,6,9,4949
39,85,814,8,10,4949
40,89,1137,8,12,4998
41,94,859,6,11,5151
42,79,631,7,11,5252
43,56,430,9,7,5646
44,65,859,6,12,5757
45,82,707,6,12,5858
46,79,631,8,10,5904
47,69,407,6,6,5912
48,85,909,8,11,5959
49,83,859,8,10,6101
50,78,728,8,19,6141
51,75,864,8,14,6262
52,61,642,8,5,6303
53,81,859,7,14,6565
54,75,369,6,6,6565
55,77,632,8,6,6666
56,77,526,6,7,6666
57,83,753,7,15,6720
58,78,682,6,9,6767
59,74,369,6,6,6992
60,75,404,6,9,7070
61,84,1031,7,16,7171
62,98,1137,7,17,7384
63,89,1162,7,19,7575
64,80,546,6,6,7676
65,85,859,7,14,7768
66,95,1465,6,16,7777
67,79,758,7,16,7853
68,82,526,6,7,7878
69,84,753,7,12,7979
70,86,1293,9,5,8080
71,84,970,7,20,8164
72,65,733,7,13,8282
73,78,808,8,6,8484
74,73,606,6,7,8585
75,79,738,5,17,8888
76,86,859,7,17,8973
77,86,1293,9,6,8989
78,93,1137,7,14,9090
79,66,733,8,7,9090
80,80,543,8,5,9218
81,75,864,8,5,9395
82,76,443,6,14,9434
83,80,606,9,8,9453
84,90,1137,8,10,9454
85,74,369,8,15,9494
86,59,430,6,6,9595
87,79,783,8,5,9747
88,87,1293,7,22,9843
89,87,859,6,18,9898
90,91,667,6,22,9927
91,66,435,6,6,9945
92,66,733,8,7,9949
93,82,909,7,14,9999
94,63,526,8,6,9999
95,98,1566,9,10,10100
96,84,1010,8,6,10100
97,88,1111,8,15,10302
98,74,728,7,14,10382
99,82,566,8,4,10616
100,77,407,6,8,10714
101,80,543,7,6,10757
102,95,1515,8,18,10765
103,79,425,6,8,11110
104,80,606,9,9,11181
105,87,2525,6,21,11312
106,79,433,6,15,11464
107,91,859,6,17,11615
108,83,682,9,6,11615
109,84,627,6,25,11858
110,77,526,6,16,11918
111,82,430,8,6,12059
112,76,783,6,7,12120
113,87,2525,6,14,12120
114,75,404,6,9,12120
115,88,1212,8,7,12283
116,83,753,7,26,12565
117,85,606,8,20,12625
118,85,859,8,6,12844
119,85,859,5,22,12908
120,64,505,6,15,12928
121,85,1010,6,23,13062
122,78,516,6,16,13096
123,78,526,6,12,13181
124,82,859,7,26,13278
125,69,407,8,11,13373
126,86,1010,8,20,13381
127,73,606,7,10,13437
128,78,546,6,11,13448
129,82,566,8,6,13486
130,53,295,6,13,13585
131,81,536,6,26,13635
132,84,429,6,6,13635
133,86,808,8,7,13635
134,59,354,6,10,13635
135,106,1566,9,8,13640
136,64,400,7,25,13647
137,79,433,6,11,13686
138,76,455,7,25,13769
139,53,295,6,23,13837
140,83,425,7,31,13888
141,69,606,6,16,13938
142,74,369,6,16,13938
143,77,526,7,10,13989
144,80,430,7,8,14037
145,80,515,6,17,14039
146,75,404,6,13,14039
147,80,546,6,18,14140
148,82,526,6,18,14140
149,78,864,6,10,14140
150,63,460,6,8,14140
151,79,425,6,10,14140
152,78,864,7,8,14140
153,69,407,6,22,14140
154,77,455,6,10,14140
155,62,440,6,9,14140
156,86,435,6,12,14241
157,80,515,6,10,14241
158,63,460,7,12,14342
159,59,354,6,7,14342
160,59,354,7,21,14393
161,86,435,6,18,14443
162,84,753,6,21,14443
163,66,369,7,9,14443
164,87,2525,6,10,14443
165,73,430,7,12,14465
166,75,516,6,13,14521
167,75,516,6,16,14540
168,76,443,6,17,14544
169,80,546,6,9,14544
170,69,606,6,10,14544
171,80,543,8,9,14544
172,78,430,8,8,14544
173,78,430,8,8,14544
174,78,728,7,25,14590
175,64,505,7,22,14595
176,74,443,7,7,14595
177,83,859,8,10,14645
178,64,400,8,10,14676
179,80,728,8,7,14750
180,92,1212,8,9,14797
181,107,1111,8,11,14847
182,83,864,6,26,14910
183,85,682,8,6,15019
184,85,814,8,9,15049
185,73,531,8,6,15150
186,79,546,6,11,15150
187,78,526,7,10,15152
188,86,1061,9,8,15251
189,66,369,7,17,15376
190,86,1061,7,29,15421
191,50,354,7,15,15545
192,84,429,7,9,15756
193,70,369,6,11,16160
194,82,526,6,11,16160
195,80,430,7,17,16312
196,85,859,8,14,16513
197,84,970,8,7,16524
198,53,295,6,12,16564
199,98,637,8,6,16961
200,80,1031,8,13,16968
201,82,678,8,10,16997
202,95,516,8,15,17170
203,85,1293,9,8,17170
204,79,758,8,8,17170
205,89,859,6,12,17198
206,84,538,6,12,17235
207,84,859,9,14,17266
208,86,1111,8,9,17271
209,87,1091,8,10,17271
210,75,404,8,10,17308
211,78,546,6,19,17329
212,67,505,8,14,17330
213,83,909,8,27,17372
214,89,1111,9,9,17372
215,69,407,8,8,17375
216,83,631,8,8,17396
217,89,1031,8,8,17398
218,78,783,7,12,17423
219,78,430,8,9,17423
